ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
010007440;Continental 8.25 - 15 153A5 TT 18PR;IC 10 # 0700677000;37020;;223,3;2;0;;-1;1
010007690;Continental 365/70 R 18 132 G   TL;AC 70 G # 1071671000;31108;372,9;311,88;2;0;;-1;1
010008130;Continental 480/70 R 24 138/135 A8 (135B) 135B  TL;AC 70 G # 0643717000;31126;548,9;459,08;2;0;;-1;1
010009320;Continental 7.00 - 12 TL 6PR;AS-Farmer SPEC. # 2000061434001;31263;107,8;90,16;2;0;;-1;1
010014470;Continental 250/50 - 190;MH 20 Z L # 1322600000;61498;;28,6;2;0;;-1;1
010014700;Continental 310/60 - 220;MH 20 Z L # 1331800000;61528;;44;2;0;;-1;1
010014710;Continental 280/75 - 220;MH 20 KM L # 1332500000;61530;;44;2;0;;-1;1
010014810;Continental 360/60 - 270;MH 20 Z L # 1341800000;61550;;47,3;2;0;;-1;1
010023710;Continental 650/75 R 32 167/164 A8 (164B) 164B  TL;AC 75 G # 0643527000;31138;1712,7;1432,44;2;0;;-1;1
010028410;Continental 6.50 - 16 TL 8PR;AS-Farmer # 0005210400;31210;101,2;84,64;2;0;;-1;1
010032230;Continental 285/80 R 16 126 G   TL;AC 70 G # 0643660000;31104;218,9;183,08;2;0;;-1;1
010044560;Continental 225/45 R 17  91 Y   TL;SportContact 3 E SSR * FR # 0350279000;44898;98;84,28;4;0;;-1;1
010049840;Continental 190/60 R 17   TL;Race Attack Slick REAR SOFT # 0244029000;55290;214,6;189,056;1;0;;-1;1
010054040;Continental 650/75 R 38 169/172 D (172A8) 172A8;SVT;200836;2238,5;1872,2;2;0;;-1;1
010054530;Continental 205/75 R 17.5 124/122 M  TL;LSR 1 plus # 0412007000;66494;179,3;149,96;2;0;;-1;1
010054750;Continental 13  R 22.5 156/150 G   TL;HDC 1 ED # 0525020000;383916;411,4;344,08;2;0;;-1;1
010060230;Continental 7.00 R 16 117/116L TT;LDR plus M+S # 0422025000;403111;170,2;146,372;4;0;;-1;1
010063380;Continental 315/60 R 22.5 152 L   TL;HDL 2+ Eco-Plus M+S # 0521021000;403119;407;340,4;2;0;;-1;1
010063410;Continental 385/55 R 22.5 160 K  (158L) 158L  TL;HSL 2+ Eco-Plus # 0511044000;403095;423,5;354,2;2;0;;-1;1
010067750;Continental 130/80 R 17  65 H   TL;Trail Attack 2 REAR # 0244291000;237668;94;85,34;1;0;;-1;1
010070520;Continental 11.2 - 24 TT 8PR;AS-Farmer;315802;167,2;139,84;2;0;;-1;1
010071030;Continental 12  R 22.5 152 L   TL;HDR M+S # 0522172000;258148;363;303,6;2;0;;-1;1
010071140;Continental 295/80 R 22.5 152 M   TL;HDW 2 SCANDINAVIA 3PMSF M+S # 0523029000;254075;434,5;363,4;2;0;;-1;1
010074010;Continental 130/80 R 18  66 V   TL;Road Attack 2 CR C REAR # 0244381000;311900;143,6;127,996;1;0;;-1;1
