ArtikelNr,T24ID,Price,Cheapest,Error
010047010,47642,73.58,68.38,0
010047020,47638,69.5,64,0
010047030,47637,79.16,74.5,0
010047040,47639,90.68,84.31,0
010047050,47623,64.51,60.35,0
010047060,47624,55.98,51.03,0
010047070,47625,58.92,54.14,0
010047080,47629,69.98,65.6,0
010047090,47630,63.48,58.59,0
010047100,47632,67.22,61.85,0
010047120,47633,69.37,65.05,0
010047130,47635,64.25,59.91,0
010047140,47636,67.88,63.02,0
010047150,47640,61.98,57.09,0
010047160,47631,51.65,47.14,0
010047440,61875,e,e,1
010047710,49297,67.28,63.39,0
010047720,49296,39.79,36.4,0
010047730,49287,57.88,53.34,0
010047740,49288,66.37,62.13,0
010047750,49289,79.42,73.66,0
010047760,49290,86.76,81.47,0
010048230,49111,41.38,41.27,0
010048550,66441,99.98,87.43,0
010048780,61890,149.76,149.78,0
010048880,61898,231.64,231.66,0
010049410,55293,61.52,55.94,0
010049420,55294,62.88,54.92,0
010049430,55295,76.8,71,0
010049440,55296,75.7,71,0
010049450,55297,65.88,61.46,0
010049460,55304,36.36,33.03,0
010049530,55851,89.48,87.88,0
010049620,55877,98.08,93.1,0
010049630,55878,92.29,92.24,0
010049840,55290,-0.98,0,1
010049910,55892,109.89,107.42,0
010050010,55907,63.23,61.97,0
010050030,55859,87.28,84.2,0
010050050,55844,125.77,114,0
010050170,55853,159.25,142.04,0
010050340,55924,149.03,140.86,0
010050600,55911,108.92,96.45,0
010051020,59249,43.12,38.03,0
010051060,59234,35.74,35.74,0
010051070,59235,50.03,45.15,0
010051090,57714,76.96,76.98,0
010051160,64213,66.02,64.97,0
010051260,64218,103.79,102.31,0
010051480,57760,133.01,124.73,0
010051500,57744,50.69,49.88,0
010051640,57707,135.71,132.2,0
010051670,57716,97.18,95.41,0
010051680,57717,102.81,94.91,0
010051740,57725,37.18,36.34,0
010051780,59368,64.79,60.86,0
010051830,57741,50.86,49.65,0
010051860,57745,51.45,50,0
010051910,402900,106.12,98.98,0
010051920,57786,116.25,114.95,0
010051940,57790,94.57,91,0
010052080,59384,86.44,84,0
010052470,60128,372.46,335.89,0
010052580,59283,51.02,50.14,0
010052590,65383,53.97,52,0
010052600,59320,96.17,94.22,0
010052610,59321,96.19,94.99,0
010052640,59314,93.4,87.38,0
010052690,59329,75.93,75.14,0
010052700,59291,99.98,98.78,0
010052720,59292,111.68,109.52,0
010052770,59288,124.68,123.29,0
010052930,59297,e,e,1
010053080,59385,70.6,69.17,0
010053390,60129,349.78,336.9,0
010053430,60133,370.98,346.9,0
010053480,60138,356.08,339.78,0
010053520,60142,385.53,362.9,0
010053570,60147,396.38,390,0
010053600,59261,71.98,67.3,0
010053610,59262,80.48,75.8,0
010053620,59263,72.02,67.51,0
010053630,59264,75.8,75.5,0
010053640,59265,90.38,85.24,0
010053650,59266,74.28,69.25,0
010053660,59267,96.38,90.53,0
010053670,59268,88.16,83,0
010053680,59269,104.98,99.75,0
010053690,59270,89.46,84.11,0
010053700,59271,103.38,97.7,0
010053710,59273,103.88,98.06,0
010053720,59272,103.56,97.45,0
010053790,59278,63.34,54.9,0
010053800,60186,39.79,36.4,0
010053870,59254,35.02,29,0
010053880,59255,34.09,30.76,0
010053890,59230,22.37,19.28,0
010053900,59232,25.11,21.45,0
010053910,59231,27.88,21.25,0
010053920,59233,30.07,26.94,0
010053930,59241,22.48,18.92,0
010053940,59242,23.23,20.8,0
010053950,59240,25.53,22.66,0
010053960,59250,25.57,21.67,0
010053970,59244,41.43,37,0
010053980,59243,46.58,42.95,0
010054000,32776,74.05,74.07,0
010054040,200836,-0.98,0,1
010054260,409713,22.3,16.66,0
010054270,59239,22.78,18.66,0
010054330,409717,29.07,24.74,0
010054390,400283,68.03,65.09,0
010054420,64909,103.48,93.45,0
010054530,66494,155.98,156,0
010054570,67402,207.48,198,0
010054680,401014,462.07,436.9,0
010054750,383916,-0.98,0,1
