ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
008070490;Bridgestone 215/50 R 17  91 V   TL;ER 300 OPEL # 06425;243476;105,3;90,558;4;0;;-1;2
008070500;Bridgestone 185/60 R 15  84 T   TL;B 250 # 06424;241975;54;46,44;4;0;;-1;2
008070570;Bridgestone 245/35 R 19 XL  93 Y   TL;S001 # 05928;239574;146,1;125,646;4;0;;-1;2
008070580;Bridgestone 255/35 R 19 XL  96 Y   TL;S001 # 05923;239571;139,5;119,97;4;0;;-1;2
008070590;Bridgestone 255/35 R 18 XL  94 Y   TL;S001 # 05922;241080;114,7;98,642;4;0;;-1;2
008070610;Bridgestone 245/45 R 18 XL 100 Y   TL;S001 # 05920;239692;124,3;106,898;4;0;;-1;2
008070620;Bridgestone 235/40 R 18 XL  95 Y   TL;S001 # 05919;239570;101,6;87,376;4;0;;-1;2
008070740;Bridgestone 225/35 R 19 XL  88 Y   TL;S001 # 05929;258095;122,1;105,006;4;0;;-1;2
008070830;Bridgestone 255/35 R 20 XL  97 Y   TL;S001 # 06288;260743;162,3;139,578;4;0;;-1;2
008070890;Bridgestone 225/45 R 17  91 Y   TL;S001 # 06411;247162;72,2;62,092;4;0;;-1;2
008071080;Bridgestone 215/55 R 16  93 H   TL;LM 32 # 06239;251720;80,5;69,23;4;0;;-1;2
008071300;Bridgestone 215/65 R 16  98 H   TL;LM 80 Evo # 06226;253873;83,9;72,154;4;0;;-1;2
008071310;Bridgestone 215/65 R 16 XL 102 H   TL;LM 80 Evo # 06362;251747;87;74,82;4;0;;-1;2
008071370;Bridgestone 265/60 R 18 110 H   TL;LM 80 Evo # 06360;259818;164,4;141,384;4;0;;-1;2
008071380;Bridgestone 245/65 R 17 111 T   TL;LM 80 # 05947;266893;142,3;122,378;4;0;;-1;2
008071580;Bridgestone 225/40 R 18 XL  92 W   TL;RE 050 A RFT AB # 06402;248834;101,7;87,462;4;0;;-1;2
008071610;Bridgestone 245/70 R 16 RF 111 S   TL;Dueler H/T 689 # 06556;249887;105;90,3;4;0;;-1;2
008071630;Bridgestone 215/65 R 16 XL 102 H   TL;Dueler H/P Sport # 06656;248184;74,8;64,328;4;0;;-1;2
008071650;Bridgestone 225/60 R 16  98 Y   TL;ER 300 Ecopia AO # 05196;248711;99,3;85,398;4;0;;-1;2
008071860;Bridgestone 205/55 R 16  91 W   TL;ER 300 A RFT * # 06150;258524;68,5;58,91;4;0;;-1;2
008071880;Bridgestone 225/45 R 17 XL  94 Y   TL;S001 # 06654;250352;73,4;63,124;4;0;;-1;2
008072140;Bridgestone 245/40 R 19 XL  98 W   TL;RE 050 A INFINITI # 06502;257352;138,4;119,024;4;0;;-1;2
008072150;Bridgestone 225/45 R 18  91 W   TL;RE 050 A LEGACY # 06513;258113;132,3;113,778;4;0;;-1;2
008072160;Bridgestone 215/50 R 17  91 W   TL;RE 050 A MAZ6 # 06517;255963;105,8;90,988;4;0;;-1;2
008072340;Bridgestone 245/45 R 17  95 W   TL;S001 # 06409;256422;109,1;93,826;4;0;;-1;2
008072430;Bridgestone 120/70 ZR17  (58W)  TL;S 20 M YAM FR. # 06642;268374;82,6;75,536;1;0;;-1;2
008072440;Bridgestone 180/55 ZR17  (73W)  TL;S 20 M YAM RE. # 06643;265054;105,6;95,316;1;0;;-1;2
008072580;Bridgestone 255/45 R 18  99 Y   TL;S001 # 06415;262296;122,7;105,522;4;0;;-1;2
008072670;Bridgestone 245/45 R 18  96 W   TL;RE 050 A 370Z # 06516;268729;133,5;114,81;4;0;;-1;2
008072820;Bridgestone 265/50 R 19 XL 110 V   TL;LM 80 Evo # 06568;281237;170,9;146,974;4;0;;-1;2
008072830;Bridgestone 215/40 R 17 XL  87 V   TL;LM 32 # 06887;261361;119,9;103,114;4;0;;-1;2
008072850;Bridgestone 235/55 R 17  99 V   TL;Dueler D-Sport AO Q3 # 05796;249747;109,4;94,084;4;0;;-1;2
008072890;Bridgestone 315/60 R 22.5 154 L   TL;R 249 II Evo Ecopia # 06626;265260;425,7;356,04;2;0;;-1;2
008072900;Bridgestone 225/45 R 18 XL  95 Y   TL;S001 # 06414;258294;119,6;102,856;4;0;;-1;2
008073040;Bridgestone 385/65 R 22.5 160 K  (158L) 158L  TL;R 168 plus # 06738;269315;400,4;334,88;2;0;;-1;2
008073050;Bridgestone 185/65 R 15  88 H   TL;T001 # 07125;274353;53,4;45,924;4;0;;-1;2
008073440;Bridgestone 235/35 R 19  87 Y   TL;RE 050 A N1 # 06995;199807;130,6;112,316;4;0;;-1;2
008073490;Bridgestone 215/80 R 16 RF 107 S   TL;Dueler H/T 689 TOYOTA # 07012;298068;101,6;87,376;4;0;;-1;2
008073580;Bridgestone 225/70 R 16 102 T   TL;Dueler H/T 687 HYUNDAI # 07015;296111;82,7;71,122;4;0;;-1;2
008073690;Bridgestone 235/50 R 18  97 V   TL;Dueler H/P Sport VO # 06706;267491;114;98,04;4;0;;-1;2
008073700;Bridgestone 7.50 R 16 112N TL;Dueler A/T 694 # 07021;168198;100,2;86,172;4;0;;-1;2
008073740;Bridgestone 205/75 R 16 C 110 R   TL;R 660 # 07043;278910;89,4;76,884;4;0;;-1;2
008073790;Bridgestone 195/70 R 15 C 104 R   TL;R 660 # 07041;274622;61;52,46;4;0;;-1;2
008073810;Bridgestone 195/65 R 16 C 104 T   TL;R 660 # 07066;278897;76,3;65,618;4;0;;-1;2
008073820;Bridgestone 205/65 R 16 C 107 T   TL;R 660 # 07038;283011;91,3;78,518;4;0;;-1;2
008073830;Bridgestone 215/65 R 16 C 109 T   TL;R 660 # 07067;280464;92,4;79,464;4;0;;-1;2
008073870;Bridgestone 225/70 R 15 C 112 S   TL;R 660 # 07044;277459;86,1;74,046;4;0;;-1;2
008073880;Bridgestone 215/65 R 16 C 102 H   TL;R 410 # 07326;276324;94,8;81,528;4;0;;-1;2
008073890;Bridgestone 265/30 ZR20 XL  (94Y)  TL;S007 RO2 # 07363;300897;217;186,62;4;0;;-1;2
008073920;Bridgestone 235/40 R 19 XL  96 W   TL;S001 VOLVO # 06202;267073;150,3;129,258;4;0;;-1;2
008073980;Bridgestone 120/70 ZR17  (58W)  TL;R 10 EVO TYP2 MED. # 06933;266332;113,6;102,196;1;0;;-1;2
008073990;Bridgestone 180/55 ZR17  (73W)  TL;R 10 TYP2 M/H. # 06934;267979;146,4;130,404;1;0;;-1;2
008074000;Bridgestone 120/70 ZR17  (58W)  TL;S 20 EVO FRONT # 07171;274618;74;68,14;1;0;;-1;2
008074010;Bridgestone 180/55 ZR17  (73W)  TL;S 20 EVO REAR # 07172;274719;96,9;87,834;1;0;;-1;2
008074020;Bridgestone 190/50 ZR17  (73W)  TL;S 20 EVO REAR # 07173;275781;103;93,08;1;0;;-1;2
008074030;Bridgestone 190/55 ZR17  (75W)  TL;S 20 EVO REAR # 07174;275936;105,3;95,058;1;0;;-1;2
008074040;Bridgestone 200/55 ZR17  (78W)  TL;S 20 EVO REAR # 07175;280196;111,2;100,132;1;0;;-1;2
008074050;Bridgestone 110/70 R 17  54 H   TL;S 20 EVO FRONT # 07176;278944;55,7;52,402;1;0;;-1;2
008074060;Bridgestone 140/70 R 17  66 H   TL;S 20 EVO REAR # 07177;279704;62,9;58,594;1;0;;-1;2
008074070;Bridgestone 150/60 R 17  66 H   TL;S 20 EVO REAR # 07178;277626;69,2;64,012;1;0;;-1;2
008074100;Bridgestone 160/60 R 14  65 H   TL;SC Ecopia REAR # 07181;270373;90,9;82,674;1;0;;-1;2
008074110;Bridgestone 80 /100- 21  51 M   TT;X 30 Cross FRONT MED # 07182;277639;41,9;40,534;1;0;;-1;2
008074120;Bridgestone 90 /100- 21  57 M   TT;X 30 Cross FRONT MED # 07183;280503;42,8;41,308;1;0;;-1;2
008074130;Bridgestone 110/90 - 19  62 M   TT;X 30 Cross REAR MED # 07184;279705;53,7;50,682;1;0;;-1;2
008074150;Bridgestone 110/100- 18  64 M   TT;X 30 Cross REAR MED # 07186;285974;50;47,5;1;0;;-1;2
